Class,Not_Transit-like_False_Positive_Flag,Orbit_Period,Transit_Epoch,Transit_Duration,Transit_Depth,Planetary_Radius,Insolation_Flux,Transit_Signal-to-Noise,Stellar_Surface_Gravity,Stellar_Radius
1,0,9.48803557,170.53875,2.9575,615.8,2.26,93.59,35.8,4.467,0.927
1,0,54.4183827,162.51384,4.507,874.8,2.83,9.11,25.8,4.467,0.927
0,0,19.89913995,175.850252,1.7822,10829.0,14.6,39.3,76.3,4.544,0.868
0,0,1.736952453,170.307565,2.40641,8079.2,33.46,891.96,505.6,4.564,0.791
1,0,2.525591777,171.59555,1.6545,603.3,2.75,926.16,40.9,4.438,1.046
1,0,11.09432054,171.20116,4.5945,1517.5,3.9,114.81,66.5,4.486,0.972
1,0,4.13443512,172.97937,3.1402,686.0,2.77,427.65,40.2,4.486,0.972
1,0,2.56658897,179.55437,2.429,226.5,1.59,807.74,15.0,4.486,0.972
0,0,7.36178958,132.25053,5.022,233.7,39.21,767.22,47.7,3.986,1.958
1,0,16.06864674,173.621937,3.5347,4914.3,5.76,30.75,161.9,4.485,0.848
1,0,2.470613377,122.763305,1.74319,14231.0,13.04,761.46,4304.3,4.457,0.964
1,0,2.204735417,121.3585417,3.88864,6674.7,16.1,4148.92,5945.9,4.019,1.952
1,0,3.522498429,121.1194228,3.19843,9145.7,14.59,1264.67,1741.5,4.169,1.451
1,0,3.709214104,133.98318,2.6302,131.1,1.16,500.46,50.6,4.407,1.022
0,0,11.521446064,170.839688,3.6399,17984.0,150.51,75.88,622.1,4.554,0.848
0,0,19.40393776,172.484253,12.2155,8918.7,7.18,17.69,214.7,4.591,0.68
0,0,19.221388942,184.5521637,4.79843,74284.0,49.29,55.97,2317.0,4.496,0.947
0,0,16.46983774,180.881761,9.4378,10479.0,7.94,29.61,303.4,4.517,0.786
1,0,9.27358173,173.258155,3.2875,1288.3,2.47,41.85,87.2,4.583,0.696
1,0,6.02930329,171.602959,1.5821,1912.7,2.85,50.04,65.4,4.648,0.672
0,0,2.696370652,170.73769,3.6129,397.9,1.58,305.34,48.2,4.504,0.819
1,0,5.349553819,171.80694,3.0278,831.0,2.55,168.99,60.6,4.44,0.91
1,0,3.94105221,136.08662,2.5984,363.3,1.7,253.15,28.9,4.44,0.91
1,0,8.10904807,132.8031,3.596,217.4,1.3,97.03,14.1,4.44,0.91
0,0,386.6030528,166.342079,6.8057,24927.0,41.5,1.84,994.0,4.081,1.58
1,0,21.67699193,171.53594,3.4555,857.2,2.95,18.64,34.3,4.5,0.828
1,0,4.99677968,171.74208,2.1717,934.7,2.78,166.95,28.2,4.552,0.847
1,0,4.280963604,171.89659,2.875,750.8,2.3,247.87,61.8,4.564,0.831
0,0,1.50635409,170.998064,1.5155,2211.7,4.53,1054.12,181.1,4.563,0.831
0,1,670.645531,209.04355,53.412,18091.0,14.14,0.35,642.7,4.466,0.983
0,0,61.2563628,173.83826,7.633,5123.3,39.87,15.43,85.3,4.402,1.091
1,0,38.3775486,172.82048,5.588,724.2,2.82,18.53,34.7,4.369,1.036
1,0,41.19725502,165.00404,4.6297,2213.9,3.86,8.76,51.2,4.485,0.848
1,0,6.252962249,171.30126,2.5819,1036.9,2.65,108.3,47.1,4.485,0.848
1,0,16.01308419,176.3608,3.2554,1121.9,3.1,29.31,33.2,4.499,0.826
1,0,32.62876672,194.1019,4.7971,1804.8,3.36,15.55,80.0,4.56,0.798
1,0,91.7732862,193.8378,6.473,652.0,2.12,3.92,19.1,4.56,0.798
1,0,4.959319244,172.2585292,2.22739,9802.0,12.21,349.4,696.5,4.359,1.082
0,0,2.701287801,170.69579,3.3827,860.4,6.54,527.81,48.3,4.468,0.91
1,0,4.49876511,171.34905,3.7362,460.0,2.1,389.62,29.5,4.486,0.969
0,0,19.651209505,179.401981,5.2514,11766.0,12.42,67.03,513.4,4.391,1.063
1,0,5.412203927,133.143089,2.9472,601.6,2.94,337.68,166.7,4.339,1.087
1,0,41.43958662,208.93203,10.5989,2793.1,5.5,16.72,141.1,4.367,1.046
1,0,8.35389523,171.63257,2.2514,1041.6,2.52,91.9,43.4,4.582,0.787
1,0,4.125543472,169.752585,3.1744,1487.3,4.43,565.35,128.6,4.417,1.103
1,0,2.816504904,170.9676846,2.50587,16814.0,12.21,521.13,1406.8,4.452,0.955
0,0,33.93373447,186.67608,14.561,8503.7,7.34,8.11,236.1,4.628,0.705
1,0,3.689920099,170.36571,2.6557,426.7,1.89,408.99,35.6,4.518,0.917
1,0,4.431238488,171.015,3.15,1010.9,3.25,351.23,71.1,4.428,1.015
1,0,11.37936986,133.84992,2.6255,1023.5,3.95,99.68,37.9,4.428,1.015
1,0,26.39432897,176.05459,3.573,1510.9,3.07,13.49,48.2,4.595,0.763
1,0,13.57078281,136.279194,3.3539,511.7,2.64,89.61,88.4,4.406,1.012
1,0,7.12594387,139.00492,3.0014,192.4,1.79,233.31,47.1,4.339,1.087
0,0,7.442652004,169.9717797,2.3078,24446.0,15.03,206.78,835.6,4.469,0.956
